Entry,Gene names (primary),Gene names (synonym),EntryName
P41180,CASR,GPRC2A;PCAR1,CASR_HUMAN
P34998,CRHR1,CRFR;CRFR1;CRHR,CRFR1_HUMAN
Q9UBS5,GABBR1,GPRC3A,GABR1_HUMAN
P28566,HTR1E,,5HT1E_HUMAN
P50052,AGTR2,,AGTR2_HUMAN
Q99788,CMKLR1,CHEMR23;DEZ,CML1_HUMAN
Q99705,MCHR1,GPR24;SLC1,MCHR1_HUMAN
Q96LB1,MRGPRX2,MRGX2,MRGX2_HUMAN
Q9Y5Y4,PTGDR2,CRTH2;DL1R;GPR44,PD2R2_HUMAN
Q9NYV7,TAS2R16,,T2R16_HUMAN
P08908,HTR1A,ADRB2RL1;ADRBRL1,5HT1A_HUMAN
P28222,HTR1B,HTR1DB,5HT1B_HUMAN
P28223,HTR2A,HTR2,5HT2A_HUMAN
P41595,HTR2B,,5HT2B_HUMAN
P28335,HTR2C,HTR1C,5HT2C_HUMAN
Q13639,HTR4,,5HT4R_HUMAN
Q16570,ACKR1,DARC;FY;GPD,ACKR1_HUMAN
O00590,ACKR2,CCBP2;CCR10;CMKBR9;D6,ACKR2_HUMAN
Q01718,MC2R,ACTHR,ACTHR_HUMAN
P35348,ADRA1A,ADRA1C,ADA1A_HUMAN
P08913,ADRA2A,ADRA2R;ADRAR,ADA2A_HUMAN
P30556,AGTR1,AGTR1A;AGTR1B;AT2R1;AT2R1B,AGTR1_HUMAN
P21730,C5AR1,C5AR;C5R1,C5AR1_HUMAN
P30988,CALCR,,CALCR_HUMAN
P41597,CCR2,CMKBR2,CCR2_HUMAN
P51681,CCR5,CMKBR5,CCR5_HUMAN
P34972,CNR2,CB2A;CB2B,CNR2_HUMAN
P49238,CX3CR1,CMKBRL1;GPR13,CX3C1_HUMAN
P25024,CXCR1,CMKAR1;IL8RA,CXCR1_HUMAN
P21917,DRD4,,DRD4_HUMAN
P35462,DRD3,,DRD3_HUMAN
P14416,DRD2,,DRD2_HUMAN
P25101,EDNRA,ETA;ETRA,EDNRA_HUMAN
O15552,FFAR2,FFA2;GPCR43;GPR43,FFAR2_HUMAN
P23945,FSHR,LGR1,FSHR_HUMAN
