,Family,LigandType,Value,Category
0,Class A orphans,orphan,72.0,Similarity
1,Class A orphans,orphan,60.0,Identify
2,Class A orphans,orphan,61.0,Similarity
3,Class A orphans,orphan,46.0,Identify
4,Class A orphans,orphan,40.0,Similarity
5,Class A orphans,orphan,21.0,Identify
6,Class A orphans,orphan,39.0,Similarity
7,Class A orphans,orphan,18.0,Identify
8,Class A orphans,orphan,38.0,Similarity
9,Class A orphans,orphan,22.0,Identify
10,Class A orphans,orphan,36.0,Similarity
11,Class A orphans,orphan,20.0,Identify
12,Class A orphans,orphan,36.0,Similarity
13,Class A orphans,orphan,17.0,Identify
14,Class A orphans,orphan,36.0,Similarity
15,Class A orphans,orphan,17.0,Identify
16,Class A orphans,orphan,36.0,Similarity
17,Class A orphans,orphan,16.0,Identify
18,Class A orphans,orphan,36.0,Similarity
19,Class A orphans,orphan,15.0,Identify
20,Class A orphans,orphan,36.0,Similarity
21,Class A orphans,orphan,15.0,Identify
22,Class A orphans,orphan,35.0,Similarity
23,Class A orphans,orphan,19.0,Identify
24,Class A orphans,orphan,35.0,Similarity
25,Class A orphans,orphan,17.0,Identify
26,Class A orphans,orphan,35.0,Similarity
27,Class A orphans,orphan,17.0,Identify
28,Class A orphans,orphan,35.0,Similarity
29,Class A orphans,orphan,16.0,Identify
30,Class A orphans,orphan,35.0,Similarity
31,Class A orphans,orphan,16.0,Identify
32,Class A orphans,orphan,34.0,Similarity
33,Class A orphans,orphan,19.0,Identify
34,Class A orphans,orphan,34.0,Similarity
35,Class A orphans,orphan,19.0,Identify
36,Class A orphans,orphan,34.0,Similarity
37,Class A orphans,orphan,18.0,Identify
38,Class A orphans,orphan,34.0,Similarity
39,Class A orphans,orphan,17.0,Identify
40,Class A orphans,orphan,34.0,Similarity
41,Class A orphans,orphan,17.0,Identify
42,Class A orphans,orphan,34.0,Similarity
43,Class A orphans,orphan,16.0,Identify
44,Class A orphans,orphan,34.0,Similarity
45,Class A orphans,orphan,16.0,Identify
46,Class A orphans,orphan,33.0,Similarity
47,Class A orphans,orphan,18.0,Identify
48,Class A orphans,orphan,33.0,Similarity
49,Class A orphans,orphan,17.0,Identify
50,Class A orphans,orphan,33.0,Similarity
51,Class A orphans,orphan,17.0,Identify
52,Class A orphans,orphan,33.0,Similarity
53,Class A orphans,orphan,17.0,Identify
54,Class A orphans,orphan,33.0,Similarity
55,Class A orphans,orphan,17.0,Identify
56,Class A orphans,orphan,33.0,Similarity
57,Class A orphans,orphan,17.0,Identify
58,Class A orphans,orphan,33.0,Similarity
