,Family,LigandType,Value,Category
0,Adhesion class orphans,orphan,75.0,Similarity
1,Adhesion class orphans,orphan,54.0,Identify
2,Adhesion class orphans,orphan,70.0,Similarity
3,Adhesion class orphans,orphan,53.0,Identify
4,Adhesion class orphans,orphan,52.0,Similarity
5,Adhesion class orphans,orphan,33.0,Identify
6,Adhesion class orphans,orphan,52.0,Similarity
7,Adhesion class orphans,orphan,32.0,Identify
8,Adhesion class orphans,orphan,51.0,Similarity
9,Adhesion class orphans,orphan,33.0,Identify
10,Adhesion class orphans,orphan,51.0,Similarity
11,Adhesion class orphans,orphan,30.0,Identify
12,Adhesion class orphans,orphan,51.0,Similarity
13,Adhesion class orphans,orphan,28.0,Identify
14,Adhesion class orphans,orphan,51.0,Similarity
15,Adhesion class orphans,orphan,26.0,Identify
16,Adhesion class orphans,orphan,47.0,Similarity
17,Adhesion class orphans,orphan,27.0,Identify
18,Adhesion class orphans,orphan,47.0,Similarity
19,Adhesion class orphans,orphan,25.0,Identify
20,Adhesion class orphans,orphan,44.0,Similarity
21,Adhesion class orphans,orphan,26.0,Identify
22,Adhesion class orphans,orphan,44.0,Similarity
23,Adhesion class orphans,orphan,25.0,Identify
24,Adhesion class orphans,orphan,44.0,Similarity
25,Adhesion class orphans,orphan,24.0,Identify
26,Adhesion class orphans,orphan,43.0,Similarity
27,Adhesion class orphans,orphan,28.0,Identify
28,Adhesion class orphans,orphan,43.0,Similarity
29,Adhesion class orphans,orphan,21.0,Identify
30,Adhesion class orphans,orphan,42.0,Similarity
31,Adhesion class orphans,orphan,19.0,Identify
32,Adhesion class orphans,orphan,41.0,Similarity
33,Adhesion class orphans,orphan,18.0,Identify
34,Adhesion class orphans,orphan,40.0,Similarity
35,Adhesion class orphans,orphan,26.0,Identify
36,Adhesion class orphans,orphan,40.0,Similarity
37,Adhesion class orphans,orphan,22.0,Identify
38,Adhesion class orphans,orphan,40.0,Similarity
39,Adhesion class orphans,orphan,15.0,Identify
40,Adhesion class orphans,orphan,37.0,Similarity
41,Adhesion class orphans,orphan,20.0,Identify
42,Adhesion class orphans,orphan,35.0,Similarity
43,Adhesion class orphans,orphan,18.0,Identify
44,Adhesion class orphans,orphan,33.0,Similarity
45,Adhesion class orphans,orphan,20.0,Identify
46,Adhesion class orphans,orphan,32.0,Similarity
47,Adhesion class orphans,orphan,17.0,Identify
48,Adhesion class orphans,orphan,31.0,Similarity
49,Adhesion class orphans,orphan,15.0,Identify
50,Adhesion class orphans,orphan,30.0,Similarity
51,Adhesion class orphans,orphan,20.0,Identify
52,Adhesion class orphans,orphan,28.0,Similarity
53,Adhesion class orphans,orphan,13.0,Identify
54,Adhesion class orphans,orphan,27.0,Similarity
55,Adhesion class orphans,orphan,13.0,Identify
56,Adhesion class orphans,orphan,21.0,Similarity
57,Adhesion class orphans,orphan,8.0,Identify
58,Adhesion class orphans,orphan,14.0,Similarity
59,Adhesion class orphans,orphan,5.0,Identify
60,Adhesion class orphans,orphan,14.0,Similarity
61,Adhesion class orphans,orphan,5.0,Identify
62,Adhesion class orphans,orphan,0.0,Similarity
63,Adhesion class orphans,orphan,0.0,Identify
64,Adhesion class orphans,orphan,22.0,Similarity
65,Adhesion class orphans,orphan,9.0,Identify
66,Adhesion class orphans,orphan,19.0,Similarity
67,Adhesion class orphans,orphan,10.0,Identify
68,Adhesion class orphans,orphan,19.0,Similarity
69,Adhesion class orphans,orphan,6.0,Identify
70,Adhesion class orphans,orphan,19.0,Similarity
71,Adhesion class orphans,orphan,5.0,Identify
72,Adhesion class orphans,orphan,19.0,Similarity
73,Adhesion class orphans,orphan,5.0,Identify
74,Adhesion class orphans,orphan,18.0,Similarity
75,Adhesion class orphans,orphan,5.0,Identify
76,Adhesion class orphans,orphan,18.0,Similarity
77,Adhesion class orphans,orphan,5.0,Identify
78,Adhesion class orphans,orphan,18.0,Similarity
79,Adhesion class orphans,orphan,4.0,Identify
80,Adhesion class orphans,orphan,17.0,Similarity
81,Adhesion class orphans,orphan,7.0,Identify
82,Adhesion class orphans,orphan,17.0,Similarity
83,Adhesion class orphans,orphan,6.0,Identify
84,Adhesion class orphans,orphan,17.0,Similarity
85,Adhesion class orphans,orphan,6.0,Identify
86,Adhesion class orphans,orphan,17.0,Similarity
87,Adhesion class orphans,orphan,6.0,Identify
88,Adhesion class orphans,orphan,17.0,Similarity
89,Adhesion class orphans,orphan,5.0,Identify
90,Adhesion class orphans,orphan,17.0,Similarity
91,Adhesion class orphans,orphan,5.0,Identify
92,Adhesion class orphans,orphan,16.0,Similarity
93,Adhesion class orphans,orphan,8.0,Identify
94,Adhesion class orphans,orphan,16.0,Similarity
95,Adhesion class orphans,orphan,5.0,Identify
96,Adhesion class orphans,orphan,16.0,Similarity
97,Adhesion class orphans,orphan,5.0,Identify
98,Adhesion class orphans,orphan,16.0,Similarity
99,Adhesion class orphans,orphan,5.0,Identify
100,Adhesion class orphans,orphan,15.0,Similarity
101,Adhesion class orphans,orphan,7.0,Identify
102,Adhesion class orphans,orphan,15.0,Similarity
103,Adhesion class orphans,orphan,6.0,Identify
104,Adhesion class orphans,orphan,15.0,Similarity
105,Adhesion class orphans,orphan,6.0,Identify
106,Adhesion class orphans,orphan,15.0,Similarity
107,Adhesion class orphans,orphan,5.0,Identify
108,Adhesion class orphans,orphan,14.0,Similarity
109,Adhesion class orphans,orphan,7.0,Identify
110,Adhesion class orphans,orphan,14.0,Similarity
111,Adhesion class orphans,orphan,7.0,Identify
112,Adhesion class orphans,orphan,14.0,Similarity
113,Adhesion class orphans,orphan,6.0,Identify
114,Adhesion class orphans,orphan,14.0,Similarity
115,Adhesion class orphans,orphan,6.0,Identify
116,Adhesion class orphans,orphan,14.0,Similarity
117,Adhesion class orphans,orphan,6.0,Identify
118,Adhesion class orphans,orphan,13.0,Similarity
119,Adhesion class orphans,orphan,4.0,Identify
120,Adhesion class orphans,orphan,13.0,Similarity
121,Adhesion class orphans,orphan,3.0,Identify
122,Adhesion class orphans,orphan,11.0,Similarity
123,Adhesion class orphans,orphan,3.0,Identify
124,Adhesion class orphans,orphan,0.0,Similarity
125,Adhesion class orphans,orphan,0.0,Identify
126,Adhesion class orphans,orphan,0.0,Similarity
127,Adhesion class orphans,orphan,0.0,Identify
128,Adhesion class orphans,orphan,0.0,Similarity
129,Adhesion class orphans,orphan,0.0,Identify
130,Adhesion class orphans,orphan,0.0,Similarity
131,Adhesion class orphans,orphan,0.0,Identify
132,Adhesion class orphans,orphan,0.0,Similarity
133,Adhesion class orphans,orphan,0.0,Identify
134,Adhesion class orphans,orphan,0.0,Similarity
135,Adhesion class orphans,orphan,0.0,Identify
136,Adhesion class orphans,orphan,0.0,Similarity
137,Adhesion class orphans,orphan,0.0,Identify
138,Adhesion class orphans,orphan,0.0,Similarity
139,Adhesion class orphans,orphan,0.0,Identify
140,Adhesion class orphans,orphan,0.0,Similarity
141,Adhesion class orphans,orphan,0.0,Identify
142,Adhesion class orphans,orphan,0.0,Similarity
143,Adhesion class orphans,orphan,0.0,Identify
144,Adhesion class orphans,orphan,0.0,Similarity
145,Adhesion class orphans,orphan,0.0,Identify
146,Adhesion class orphans,orphan,0.0,Similarity
147,Adhesion class orphans,orphan,0.0,Identify
148,Adhesion class orphans,orphan,0.0,Similarity
149,Adhesion class orphans,orphan,0.0,Identify
150,Adhesion class orphans,orphan,0.0,Similarity
151,Adhesion class orphans,orphan,0.0,Identify
152,Adhesion class orphans,orphan,0.0,Similarity
153,Adhesion class orphans,orphan,0.0,Identify
154,Adhesion class orphans,orphan,0.0,Similarity
155,Adhesion class orphans,orphan,0.0,Identify
156,Adhesion class orphans,orphan,0.0,Similarity
157,Adhesion class orphans,orphan,0.0,Identify
158,Adhesion class orphans,orphan,0.0,Similarity
159,Adhesion class orphans,orphan,0.0,Identify
160,Adhesion class orphans,orphan,0.0,Similarity
161,Adhesion class orphans,orphan,0.0,Identify
162,Adhesion class orphans,orphan,0.0,Similarity
163,Adhesion class orphans,orphan,0.0,Identify
164,Adhesion class orphans,orphan,0.0,Similarity
165,Adhesion class orphans,orphan,0.0,Identify
166,Adhesion class orphans,orphan,0.0,Similarity
167,Adhesion class orphans,orphan,0.0,Identify
168,Adhesion class orphans,orphan,0.0,Similarity
169,Adhesion class orphans,orphan,0.0,Identify
170,Adhesion class orphans,orphan,0.0,Similarity
171,Adhesion class orphans,orphan,0.0,Identify
172,Adhesion class orphans,orphan,0.0,Similarity
173,Adhesion class orphans,orphan,0.0,Identify
174,Adhesion class orphans,orphan,0.0,Similarity
175,Adhesion class orphans,orphan,0.0,Identify
176,Adhesion class orphans,orphan,0.0,Similarity
177,Adhesion class orphans,orphan,0.0,Identify
178,Adhesion class orphans,orphan,0.0,Similarity
179,Adhesion class orphans,orphan,0.0,Identify
180,Adhesion class orphans,orphan,0.0,Similarity
181,Adhesion class orphans,orphan,0.0,Identify
182,Adhesion class orphans,orphan,0.0,Similarity
183,Adhesion class orphans,orphan,0.0,Identify
184,Adhesion class orphans,orphan,0.0,Similarity
185,Adhesion class orphans,orphan,0.0,Identify
186,Adhesion class orphans,orphan,86.0,Similarity
187,Adhesion class orphans,orphan,69.0,Identify
188,Adhesion class orphans,orphan,60.0,Similarity
189,Adhesion class orphans,orphan,44.0,Identify
190,Adhesion class orphans,orphan,59.0,Similarity
191,Adhesion class orphans,orphan,39.0,Identify
192,Adhesion class orphans,orphan,59.0,Similarity
193,Adhesion class orphans,orphan,33.0,Identify
194,Adhesion class orphans,orphan,54.0,Similarity
195,Adhesion class orphans,orphan,39.0,Identify
196,Adhesion class orphans,orphan,54.0,Similarity
197,Adhesion class orphans,orphan,33.0,Identify
198,Adhesion class orphans,orphan,53.0,Similarity
199,Adhesion class orphans,orphan,31.0,Identify
200,Adhesion class orphans,orphan,52.0,Similarity
201,Adhesion class orphans,orphan,38.0,Identify
202,Adhesion class orphans,orphan,52.0,Similarity
203,Adhesion class orphans,orphan,29.0,Identify
204,Adhesion class orphans,orphan,50.0,Similarity
205,Adhesion class orphans,orphan,35.0,Identify
206,Adhesion class orphans,orphan,46.0,Similarity
207,Adhesion class orphans,orphan,27.0,Identify
208,Adhesion class orphans,orphan,45.0,Similarity
209,Adhesion class orphans,orphan,25.0,Identify
210,Adhesion class orphans,orphan,43.0,Similarity
211,Adhesion class orphans,orphan,26.0,Identify
212,Adhesion class orphans,orphan,43.0,Similarity
213,Adhesion class orphans,orphan,25.0,Identify
214,Adhesion class orphans,orphan,43.0,Similarity
215,Adhesion class orphans,orphan,22.0,Identify
216,Adhesion class orphans,orphan,39.0,Similarity
217,Adhesion class orphans,orphan,26.0,Identify
218,Adhesion class orphans,orphan,38.0,Similarity
219,Adhesion class orphans,orphan,20.0,Identify
220,Adhesion class orphans,orphan,38.0,Similarity
221,Adhesion class orphans,orphan,18.0,Identify
222,Adhesion class orphans,orphan,38.0,Similarity
223,Adhesion class orphans,orphan,18.0,Identify
224,Adhesion class orphans,orphan,37.0,Similarity
225,Adhesion class orphans,orphan,21.0,Identify
226,Adhesion class orphans,orphan,34.0,Similarity
227,Adhesion class orphans,orphan,17.0,Identify
228,Adhesion class orphans,orphan,33.0,Similarity
229,Adhesion class orphans,orphan,22.0,Identify
230,Adhesion class orphans,orphan,33.0,Similarity
231,Adhesion class orphans,orphan,17.0,Identify
232,Adhesion class orphans,orphan,32.0,Similarity
233,Adhesion class orphans,orphan,16.0,Identify
234,Adhesion class orphans,orphan,32.0,Similarity
235,Adhesion class orphans,orphan,14.0,Identify
236,Adhesion class orphans,orphan,30.0,Similarity
237,Adhesion class orphans,orphan,17.0,Identify
238,Adhesion class orphans,orphan,28.0,Similarity
239,Adhesion class orphans,orphan,14.0,Identify
240,Adhesion class orphans,orphan,15.0,Similarity
241,Adhesion class orphans,orphan,5.0,Identify
242,Adhesion class orphans,orphan,11.0,Similarity
243,Adhesion class orphans,orphan,6.0,Identify
244,Adhesion class orphans,orphan,36.0,Similarity
245,Adhesion class orphans,orphan,22.0,Identify
246,Adhesion class orphans,orphan,34.0,Similarity
247,Adhesion class orphans,orphan,23.0,Identify
248,Adhesion class orphans,orphan,32.0,Similarity
249,Adhesion class orphans,orphan,18.0,Identify
250,Adhesion class orphans,orphan,32.0,Similarity
251,Adhesion class orphans,orphan,18.0,Identify
252,Adhesion class orphans,orphan,32.0,Similarity
253,Adhesion class orphans,orphan,15.0,Identify
254,Adhesion class orphans,orphan,31.0,Similarity
255,Adhesion class orphans,orphan,19.0,Identify
256,Adhesion class orphans,orphan,31.0,Similarity
257,Adhesion class orphans,orphan,16.0,Identify
258,Adhesion class orphans,orphan,31.0,Similarity
259,Adhesion class orphans,orphan,16.0,Identify
